atlas_telephely_id,partner/külső_id,hermes_telephely_id,partner_telephely_kulso_id,partner_nev_hermes,telepules_hermes,kozterulet_nev_hermes,kozterulet_jelleg_hermes,hazszam_hermes
1005830,1034099,1237190,1005830,HunEnt Zrt.,Mélykút,Tópart,utca,56.
1007422,1000005,1237408,1007422,Zabosfa Kertész Kft.,Zákányszék,Lengyel,tér,7
1006569,1033945,1237462,1006569,Foodnet Zrt.,Budapest,Bécsi,út,269
1006344,1389197,1775646,1006344,Fruitful Alföld Kft.,Magyarbánhegyes,Hunyadi,utca,41
1006922,1389487,2430623,1006922,ESPRESSOSHOP.HU KFT.,Budapest,Népsziget,sziget,25992/1
1005985,1389479,2569832,1005985,WINEGARDEN Kft.,Soltvadkert,Szentháromság,utca,110
1006540,1326439,4763808,1006540,Vörösvár Kft.,Budapest,Miklós,tér,4
1006868,1326439,5489524,1006868,Vörösvár Kft.,Budapest,Reitter Ferenc,utca,107
1006455,1389862,6146939,1006455,Kerezsi Kristóf e.v.,Balkány,Dózsa György,utca,26.
1006715,1033701,6315998,1006715,Bonbonetti Kereskedelmi és Szolgáltató Kft.,Budapest,Vágóhíd,utca,76
1006837,1388990,6376511,1006837,Rivan-Nova Kft.,Budapest,Törökbálinti,út,3
